projectId,department,document_type,title,progress,views,project_card_size_Kb
146100,Минздрав России,Проект постановления Правительства Российской Федерации,О внесении изменений в постановление Правительства Российской Федерации от 19 июня 2012 г. № 608,1,315,0.3544921875
146099,Минздрав России,Проект постановления Правительства Российской Федерации,О внесении изменений в постановление Правительства Российской Федерации от 30 июня 2004 г. № 323,1,358,0.3544921875
146098,Минздрав России,Проект ведомственного акта,"Об утверждении общих требований к организации посещения пациента в медицинской организации, оказывающей психиатрическую помощь",1,556,0.3671875
146097,Минздрав России,Проект ведомственного акта,"Об утверждении Порядка оповещения законного представителя пациента, либо одного из родственников пациента, либо иного лица по указанию пациента о поступлении пациента в медицинскую организацию, оказывающую психиатрическую помощь в стационарных условиях, в недобровольном порядке",1,350,0.58203125
146095,Минсельхоз России,Проект постановления Правительства Российской Федерации,О внесении изменения в постановление Правительства Российской Федерации от 30 июня 2021 г. № 1079,1,253,0.359375
146094,ФАС России,Проект постановления Правительства Российской Федерации,О внесении изменений в Положение о Федеральной антимонопольной службе,1,354,0.306640625
146093,Минпросвещения России,Проект ведомственного акта,"Приказ ""Об утверждении федерального государственного образовательного стандарта среднего профессионального образования по профессии 54.01.21 Изготовитель художественных изделий из твердых материалов (по видам, за исключением металла)""",1,162,0.568359375
146092,Минпросвещения России,Проект ведомственного акта,"Приказ ""Об утверждении федерального государственного образовательного стандарта среднего профессионального образования по специальности 38.02.01 Экономика и бухгалтерский учет (по отраслям)""",1,223,0.48828125
146091,Минпромторг России,Проект постановления Правительства Российской Федерации,О внесении изменения в постановление Правительства Российской Федерации от 16 июля 2015 г. № 708,1,355,0.3603515625
146090,Минпросвещения России,Проект ведомственного акта,"Приказ ""Об утверждении федерального государственного образовательного стандарта среднего профессионального образования по специальности 36.02.05 Кинология""",1,160,0.4267578125
146088,Минпросвещения России,Проект ведомственного акта,"Приказ ""Об утверждении федерального государственного образовательного стандарта среднего профессионального образования по специальности 36.02.04 Охотоведение и звероводство""",1,152,0.4599609375
146087,Минпросвещения России,Проект ведомственного акта,"Приказ ""Об утверждении федерального государственного образовательного стандарта среднего профессионального образования по профессии 36.01.06 Мастер оленеводства""",1,157,0.4375
146086,Минпросвещения России,Проект ведомственного акта,"Приказ ""Об утверждении федерального государственного образовательного стандарта среднего профессионального образования по профессии 36.01.03 Тренер-наездник лошадей""",1,150,0.4443359375
146084,Минпросвещения России,Проект ведомственного акта,"Приказ ""Об утверждении федерального государственного образовательного стандарта среднего профессионального образования по специальности 35.02.19 Техническое обеспечение рыбоводства""",1,158,0.4755859375
146083,Минпросвещения России,Проект ведомственного акта,"Приказ ""Об утверждении федерального государственного образовательного стандарта среднего профессионального образования по профессии 35.01.34 Аппаратчик-оператор производства продукции из водных биоресурсов на судах рыбопромыслового флота и береговых предприятиях""",1,156,0.5986328125
146082,Минпросвещения России,Проект ведомственного акта,"Приказ ""Об утверждении федерального государственного образовательного стандарта среднего профессионального образования по специальности 31.02.07 Стоматологическое дело""",1,209,0.451171875
146085,Росрыболовство,Проект ведомственного акта,"О внесении изменения в Положение о знаке отличия
Федерального агентства по рыболовству «90 лет органам рыбоохраны России», утвержденное приказом Росрыболовства от 30 ноября 2023 г. № 674",1,164,0.4599609375
146080,Минпросвещения России,Проект ведомственного акта,"Приказ ""Об утверждении федерального государственного образовательного стандарта среднего профессионального образования по специальности 29.02.05 Технология текстильных изделий (по видам)""",1,168,0.4833984375
146096,Минздрав России,Проект постановления Правительства Российской Федерации,"Об утверждении Правил признания территории лечебно-оздоровительной местностью федерального значения, курортом федерального значения или курортным регионом, Правил признания территории лечебно-оздоровительной местностью регионального значения или курортом регионального значения и Правил установления, изменения границ и упразднения лечебно-оздоровительной местности, курорта или курортного региона",0.678571,298,0.6357421875
146089,ФАС России,Проект постановления Правительства Российской Федерации,"О внесении изменений в постановление
Правительства Российской Федерации от 10 февраля 2015 г. № 107",0.904762,328,0.3408203125
146079,Минэкономразвития России,Проект федерального закона,проект федерального закона «О внесении изменений в Кодекс Российской Федерации об административных правонарушениях» (в части смягчения административной ответственности за нарушение классифицированными средствами размещения правил регистрационного и миграционного учета),1,335,0.611328125
146078,Минпросвещения России,Проект ведомственного акта,"Приказ ""Об утверждении федерального государственного образовательного стандарта среднего профессионального образования по профессии 29.01.28 Мастер по обработке алмазов""",1,160,0.451171875
146077,Минпросвещения России,Проект ведомственного акта,"Приказ ""Об утверждении федерального государственного образовательного стандарта среднего профессионального образования по специальности 25.02.07 Техническое обслуживание авиационных двигателей""",1,163,0.498046875
146073,Минпросвещения России,Проект ведомственного акта,"Приказ ""Об утверждении федерального государственного образовательного стандарта среднего профессионального образования по специальности 25.02.06 Производство и обслуживание авиационной техники""",1,161,0.4970703125
