projectId;department;documentType;title;progress;views;project_card_sizeKb
142304;Минкультуры России;Проект постановления Правительства Российской Федерации;Об утверждении Правил предоставления субсидии Фонду проектов социального и культурного назначения «Национальное культурное наследие» на содержание и эксплуатацию введенных в эксплуатацию объектов музейных и культурно-образовательных комплексов в городах Владивостоке, Калининграде, Кемерово и Севастополе в целях обеспечения непрерывного функционирования федеральных государственных бюджетных учреждений, находящихся в ведении Министерства культуры Российской Федерации;0;113;0.611328125
142303;Минфин России;Проект постановления Правительства Российской Федерации;О внесении изменений в некоторые акты Правительства Российской Федерации;0;190;0.279296875
142290;ФАС России;Проект ведомственного акта;Об утверждении предельных максимальных аэропортовых тарифов и сборов за обслуживание воздушных судов юридических лиц, зарегистрированных на территории Российской Федерации, или граждан Российской Федерации и предельных максимальных аэропортовых сборов за обслуживание воздушных судов иностранных эксплуатантов на услуги в аэропорту Мурманск, оказываемые АО «Аэропорт Мурманск»;0;53;0.537109375
142287;ФАС России;Проект ведомственного акта;"Об утверждении предельных максимальных аэропортовых сборов и тарифов за обслуживание воздушных судов юридических лиц, зарегистрированных
на территории Российской Федерации, или граждан Российской Федерации
и предельных максимальных аэропортовых сборов за обслуживание воздушных судов иностранных эксплуатантов на услуги в аэропорту Минеральные Воды, оказываемые АО «Международный аэропорт Минеральные Воды»";0;54;0.537109375
142308;Минздрав России;Проект ведомственного акта;Об утверждении Перечня индикаторов риска нарушения обязательных требований, используемых при осуществлении федерального государственного лицензионного контроля (надзора) за деятельностью в области использования источников ионизирующего излучения (генерирующих) (за исключением случая, если эти источники используются в медицинской деятельности);0.285714;269;0.581054688
142307;Минздрав России;Проект постановления Правительства Российской Федерации;О внесении изменений в особенности обращения, включая особенности государственной регистрации, медицинских изделий в случае их дефектуры или риска возникновения дефектуры в связи с введением в отношении Российской Федерации ограничительных мер экономического характера;0.2;278;0.626953125
142306;Минюст России;Проект федерального закона;О внесении изменений в статью 333.33 части второй Налогового кодекса Российской Федерации;0.285714;145;0.278320313
142301;ФТС России;Проект ведомственного акта;Об утверждении порядка ведения учета товаров, помещенных под таможенную процедуру свободной таможенной зоны, и (или) товаров, изготовленных (полученных) из товаров, помещенных под таможенную процедуру свободной таможенной зоны, и совершаемых с такими товарами операций с использованием автоматизированной информационной системы бухгалтерского учета, состава сведений, доступ к которым должен быть обеспечен в соответствии с частью 10 статьи 254 Федерального закона от 29 декабря 2014 г. № 473-ФЗ «О территориях опережающего развития в Российской Федерации», и порядка доступа к таким сведениям;0.148148;71;0.5546875
142298;Минфин России;Проект постановления Правительства Российской Федерации;О внесении изменений в постановление Правительства Российской Федерации от 26 января 2010 г. № 27;0.2;164;0.34375
142300;Минкультуры России;Проект постановления Правительства Российской Федерации;Об утверждении Правил предоставления субсидии Фонду проектов социального и культурного назначения «Национальное культурное наследие» на содержание и эксплуатацию введенных в эксплуатацию объектов музейных и культурно-образовательных комплексов в городах Владивостоке, Калининграде, Кемерово и Севастополе в целях обеспечения непрерывного функционирования федеральных государственных бюджетных учреждений, находящихся в ведении Министерства культуры Российской Федерации;0.285714;80;0.639648438
