author,date,time,comment
@user-po3fk1mt8j,2024-01-11,2024-01-11T16:03:30Z,Рвскии мир создал это самалет вы не чего не можете создать
@user-po3fk1mt8j,2024-01-11,2024-01-11T16:00:15Z,Все полючите за свое
@user-po3fk1mt8j,2024-01-11,2024-01-11T15:59:00Z,Буча это воши убили кто за россию
@user-po3fk1mt8j,2024-01-11,2024-01-11T15:56:23Z,Зло украина когда говорил Порошенко наши дети будут в школе а дпти Донбаса в подвалах
@user-lm7sp8iq9e,2024-01-11,2024-01-11T15:06:02Z,"Телетекст читаешь очень плохо, хоть бы взгляд иногда отводил"
@k34183,2024-01-11,2024-01-11T09:38:10Z,А можно записи конкретных убийств?
@knyazev_rs,2024-01-10,2024-01-10T16:26:33Z,Ужас
@zrxmax_,2024-01-08,2024-01-08T23:30:24Z,Thanks for Hebrew subs
@user-kc5tw5ei2o,2024-01-08,2024-01-08T18:53:03Z,"<a href=""https://www.youtube.com/watch?v=LrAKhbMCl2k&amp;t=12m51s"">12:51</a>"
@user-cc4zk6fp9c,2024-01-07,2024-01-07T23:43:56Z,😢
@user-rw6mu8yt1z,2024-01-07,2024-01-07T13:26:51Z,"Это зависть и только зависть . Красивые , чистые , ухоженные города , уютные парки и скверы ... Украинцы не простят . Никогда Украинцы не будут с Россиянами братьями . Не по Родине не по матери . 😢😢😢"
@Vito_7,2024-01-07,2024-01-07T00:27:50Z,"Пи&amp;&amp;&amp;ть не мешки ворочать, где факты ? Где доказательства что это Россия сделала , а не Украина в целях провокации и получения поддержки со стороны ЕС? Ведь у Украины больше мотивации все это сделать чем у Россий . <br>Ну и зачем же и для чего это было нужно Россий?"
@lGGl144,2024-01-06,2024-01-06T17:50:02Z,"Напоминаю теракты в России, которые не имеют особого смысла и убивают обычных людей, людей которые звонят детям и говорят им прыгнуть с крыши и так далее, преступления  если везде, НО если о них можно с увереностью сказать что это не Фейк то это не норма, а это ситуация как мне известно такой не является."
@hm-mg7uw,2024-01-06,2024-01-06T13:04:22Z,"А чему вы удивляетесь русские люди ? Во время солдаты и офицеры СС удивлялись жестокости русских предателей , когда они своих же людей сжигали в церквях . Это у вас в крови. Просто вы такие"
@noobinvest,2024-01-05,2024-01-05T17:03:43Z,"Ничему их жизнь не учит, надо показать каждому военному как весили фашистов"
@user-st5sg6mv8d,2024-01-05,2024-01-05T10:38:35Z,И Кац говно и кино говно))
@user-hc4fx8pz1v,2024-01-03,2024-01-03T15:29:02Z,"У меня удалился лайк с этого видео Максим, предупреди людей"
@markusryzhikus,2024-01-03,2024-01-03T08:18:59Z,"Прошло полтора года, но этот ролик до сих пор травят боты, а путин сажает за любое упоминание Бучи. А я недавно услышал от недавно близких мне людей, что Буча это постанова..<br>При этом никто так и не смог предоставить этому доказательств"
@imal5006,2024-01-02,2024-01-02T12:46:01Z,149.200
@user-lt3gn6fd6q,2024-01-01,2024-01-01T17:44:33Z,Ахахах не собладать с украинской армией ахахахха
@user-xs3ul9ln8q,2024-01-01,2024-01-01T14:08:23Z,А почему ты про Донецк не рассказываешь!?
@maksim05makarov,2023-12-30,2023-12-30T14:55:10Z,"Российская армия такая заботливая, красиво разложила трупы на улице чтобы снимать видео было удобно."
@user-lb1bu6rg5w,2023-12-28,2023-12-28T22:48:18Z,Что ты скажешь сейчас?
@user-be6dd3bb2y,2023-12-28,2023-12-28T21:14:12Z,РФ обратно надо забирать
@user-tn1fo1tw6p,2023-12-28,2023-12-28T09:22:36Z,Сочувствую людям которые верят в этот фейк
@user-pp4jy1zx8q,2023-12-28,2023-12-28T08:23:59Z,Ад
@user-md7qq3hc2e,2023-12-27,2023-12-27T04:32:42Z,В школе пропаганда!!! Говорят что это ЭСВО что это хорошо. Шутят про Киев и т д мне очень жаль что учителя не могут говорить правду
@cericusser3196,2023-12-25,2023-12-25T20:53:00Z,"Да ладно уж. Убивали и убивали,и что? Мы что туда свататся пришли с оружием?"
@savaiancovschi5139,2023-12-24,2023-12-24T06:46:04Z,Столько боли в глазах Максима😢 за русский народ.....
@savaiancovschi5139,2023-12-24,2023-12-24T06:31:17Z,"Спасибо большое Максим 👍, эх россияне..."
@RoofersRoofers,2023-12-19,2023-12-19T14:07:13Z,"Сколько платят за то чтоб всякую хрень нести???? весь мир знает что укропские нацисты расстреливали лояльны жителей к РФ после ухода войск РФ, все расно продолжает хуй,,,,ю нести"
@botcin58,2023-12-18,2023-12-18T13:24:16Z,Шляпу на Бучи носил КАЦ????????????????????????
@Kuhnya-Fan,2023-12-14,2023-12-14T21:27:00Z,Слава свободной России 🇷🇺❤🇺🇦
@user-qi7qj7so4s,2023-12-14,2023-12-14T18:53:23Z,Хочу Бучу на расии!
@elwanaskerov2128,2023-12-14,2023-12-14T08:10:07Z,8️⃣💀8️⃣⚖️♾️⚰️жыдысортир⚰️♾️🤙🏻😆😆😆🍯🛜🌵
@BlacktoBlack-sk9bl,2023-12-14,2023-12-14T02:16:37Z,"Бедкомедиан снимал ролики, что россиян учат патриотизму с помощью дешевых военных фильмо. Вот к чему все это шло"
@BlacktoBlack-sk9bl,2023-12-14,2023-12-14T02:13:57Z,Ужас. И все эти убийства на наши налоги.
@paulsparrowofficial,2023-12-12,2023-12-12T13:53:08Z,"Я не отрицаю того, что произошло в Буче. Но и не соглашаюсь, что это произошло так, как преподносят на Украине. Слишком много но в этом. Слишком много претензий к теориям и объяснениям с обоих сторон. Если и зверства были - то зачем? И почему их не скрыли? Почему на других местах такого не было? Почему расследования инцидента сделаны так однобоко с нарушениями? То есть быстро &quot;вердикт&quot; и все доказательства в топку &quot;из-за уважения к мертвым&quot;? То есть спустя время даже любое независимое расследование толком не провести. Я бы понял, если бы нашли где то на окраине овраг и подвал с жертвами. Но так это больше похоже на бандитскую разборку или на постановку. Даже в ходе второй мировой войны нацисты при спешке отступления (а там не всегда были немцы, если кто подумал о их педантизме) проводили все более менее грамотно (если к этому вообще подходит то слово). Вижу пропаганду - но вижу ее с обеих сторон. И с обеих сторон она прям до отупизма проста."
@_igr,2023-12-12,2023-12-12T06:11:20Z,"Кац, ты черт!"
@user-qh3sb8fc5y,2023-12-11,2023-12-11T11:50:48Z,Жесть
@user-ni3do4gd1b,2023-12-10,2023-12-10T21:39:01Z,Смешно
@user-xq4jr3fb3p,2023-12-08,2023-12-08T09:07:04Z,"Бкдут суды надемся на это, Нам уже не когда не  быть нормальными, нас будет осуждать весь мир, Режим пришел во власть ,Гитлер точно так де пришел во власть что произашло"
@vitalybolotsky1468,2023-12-07,2023-12-07T14:17:46Z,Из декабря 2023. Трэш продолжается и прогрессирует. Трупов всё больше. Вероятность распада россии теперь признаёт даже неизлечимый оптимист Кац. Так и живём.
