Date,Closing,Opening,High,Low,Volume,Diff %
12.02.2023,1543,1538.34,1547.3,1523.47,262820.00,0.3000
11.02.2023,1538.34,1513.12,1542.64,1508.07,306240.00,1.62000
10.02.2023,1513.82,1545.35,1554.19,1499.49,523330.00,-2.04000
09.02.2023,1545.35,1650.97,1655.96,1530.98,702210.00,-6.4000
08.02.2023,1650.99,1671.39,1694.28,1631.15,447570.00,-1.22000
07.02.2023,1671.4,1613.72,1676.83,1613.2,481910.00,3.57000
06.02.2023,1613.72,1629.44,1657.75,1606.59,401030.00,-0.96000
05.02.2023,1629.44,1666.9,1671.88,1612.7,435140.00,-2.25000
04.02.2023,1666.9,1663.78,1694.58,1646.11,328660.00,0.19000
03.02.2023,1663.79,1641.7,1673.59,1628.73,489790.00,1.34000
02.02.2023,1641.71,1642.1,1710.27,1632.39,685270.00,-0.02000
01.02.2023,1642.1,1585.27,1647.27,1560.18,505440.00,3.59000
31.01.2023,1585.27,1566.5,1602.03,1562.04,368940.00,0.3600
30.01.2023,1566.5,1645.97,1647.25,1540.25,630550.00,-4.83000
29.01.2023,1645.97,1572.13,1657.19,1566.9,595670.00,4.63000
28.01.2023,1573.07,1597.61,1605.96,1561.24,332620.00,-1.54000
27.01.2023,1597.6,1602.54,1620.15,1560.21,533750.00,-0.31000
26.01.2023,1602.55,1611.2,1629.89,1581.76,552260.00,-0.54000
25.01.2023,1611.2,1555.97,1638.97,1523.71,681590.00,3.54000
24.01.2023,1556.15,1626.52,1641.17,1539.51,493470.00,-4.33000
23.01.2023,1626.53,1627.04,1643.82,1591.9,436570.00,-0.03000
22.01.2023,1627.03,1626.66,1662.13,1609.32,456360.00,0.09000
21.01.2023,1625.53,1659.96,1678.27,1622.89,523340.00,-2.08000
20.01.2023,1659.98,1551.12,1662.26,1543.21,472150.00,6.98000
19.01.2023,1551.62,1511.35,1560.7,1510.65,329040.00,2.67000
18.01.2023,1511.31,1564.66,1604.74,1505.37,801710.00,-3.41000
17.01.2023,1564.67,1576.94,1603.32,1544.45,536730.00,-0.78000
16.01.2023,1576.94,1552.69,1598.18,1526.4,617000.00,1.56000
15.01.2023,1552.69,1550.05,1564.34,1517.4,411430.00,0.17000
14.01.2023,1550.02,1450.86,1576.83,1449.47,1030000.00,6.83000
13.01.2023,1450.86,1416.08,1463.53,1401.98,552050.00,2.46000
12.01.2023,1416.08,1389.84,1435.95,1365.78,960620.00,1.89000
11.01.2023,1389.84,1335.14,1392.4,1322.1,509990.00,4.1000
10.01.2023,1335.13,1320.51,1344.42,1316.95,487240.00,1.11000
09.01.2023,1320.51,1288.39,1344.39,1285.97,629220.00,2.49000
08.01.2023,1288.38,1263.91,1289.13,1259.15,231750.00,1.94000
07.01.2023,1263.9,1269.14,1270.95,1261.46,141940.00,-0.41000
06.01.2023,1269.14,1250.95,1274.85,1240.38,369540.00,1.45000
05.01.2023,1250.95,1256.92,1259.08,1242.93,289490.00,-0.47000
04.01.2023,1256.92,1214.57,1266.97,1212.91,504280.00,3.49000
03.01.2023,1214.57,1213.93,1219.75,1206.83,219980.00,0.05000
02.01.2023,1213.93,1200.52,1220.76,1193.77,270720.00,1.12000
01.01.2023,1200.52,1195.69,1204.12,1191.67,126620.00,0.41000
31.12.2022,1195.67,1200,1207.71,1193.16,150200.00,-0.34000
30.12.2022,1199.8,1200.84,1202.13,1186.1,285770.00,-0.09000
29.12.2022,1200.84,1189.99,1205.34,1187.19,272590.00,0.91000
28.12.2022,1189.98,1211.6,1214.32,1184.22,407450.00,-1.78000
27.12.2022,1211.6,1228.22,1233.15,1202.02,290020.00,-1.31000
26.12.2022,1227.65,1218.69,1230.37,1213.08,177660.00,0.73000
25.12.2022,1218.69,1220.46,1223.82,1201.2,256520.00,-0.15000
24.12.2022,1220.46,1220.03,1226.2,1214.76,131510.00,0.04000
23.12.2022,1220.03,1217.59,1228.46,1212.97,301170.00,0.2000
22.12.2022,1217.57,1213.99,1229.47,1185.27,383630.00,0.31000
21.12.2022,1213.85,1217.19,1218.69,1205.48,269180.00,-0.28000
20.12.2022,1217.2,1167.8,1228.97,1163.57,497610.00,4.23000
19.12.2022,1167.8,1182.7,1194.47,1152.54,337020.00,-1.26000
18.12.2022,1182.7,1187.19,1196.55,1172.82,272630.00,-0.38000
17.12.2022,1187.18,1166.7,1189.21,1162.76,363230.00,1.75000
16.12.2022,1166.7,1266.32,1279.27,1156.91,829230.00,-7.87000
15.12.2022,1266.32,1307.29,1311.07,1260.89,446340.00,-3.13000
14.12.2022,1307.3,1320.76,1348.43,1302.76,614310.00,-1.02000
13.12.2022,1320.76,1275.49,1345.07,1255.82,717710.00,3.59000
12.12.2022,1275.02,1263.42,1278.37,1241.45,395620.00,0.92000
11.12.2022,1263.42,1266.36,1282.86,1258.53,192460.00,-0.25000
10.12.2022,1266.62,1262.88,1281.24,1260.05,193320.00,0.3000
09.12.2022,1262.86,1280.29,1291.11,1257,437550.00,-1.36000
08.12.2022,1280.29,1231.04,1289.87,1223.27,447070.00,4
